Flowerpool1001und2	Plantpool50b	Plantpool25a	Plantpool25b	Plantpool10b1	Plantpool10b2	Plantpool5x	PlantpoolB12345	Flowerpool50A	Flowerpool50B	Flowerpool25A	Flowerpool25B	Flowerpool10B2	Flowerpool5B	Plantpool100x	Plantpool50a	
17	9	5	8	2	3	7	37609	14	12	6	14	31	50	8	6	
15	12	4	14	9	1	6	39024	9	13	8	2	39	67	5	12	
25	12	8	9	1	1	14	34008	4	11	6	8	40	61	5	6	
13	3	2	11	5	0	2	34995	5	9	4	10	39	55	8	5	
12	8	3	1	2	1	8	35415	6	7	6	5	32	51	5	7	
4	1	1	1	2	1	0	8433	1	3	1	4	21	16	2	2	
0	0	0	0	0	0	0	610	0	1	0	0	5	2	0	0	
0	0	0	0	0	0	0	238	0	1	0	0	1	1	0	0	
0	0	0	1	0	0	1	214	0	0	0	0	0	1	0	0	
0	1	0	0	0	0	0	224	0	0	0	0	2	0	0	0	
0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	
